Application Date,Permit Status,Permit Type,Event Category,Event Sub-Category,Name of Event,Year-Month-App#,Event Start Date,Event End Date,Event Location - Park,Event Location - Neighborhood,Council District,Precinct,Organization,Attendance
12/13/2022 12:00:00 AM,In Process,Special Event,Athletic,Run/Walk,Alki Beach Sunset Run,S22AU014,08/20/2022 12:00:00 AM,08/20/2022 12:00:00 AM,Alki Beach,Alki / Admiral,1,"Southwest, Traffic",Fizz Events,1050
07/21/2021 12:00:00 AM,In Process,Special Event,Commercial,,Capitol Hill Block Party,S22JY002,07/22/2022 12:00:00 AM,07/24/2022 12:00:00 AM,Cal Anderson Park,Capitol Hill,3,"East, Operations",Independent Event Solutions,27900
01/07/2022 12:00:00 AM,In Process,Special Event,Athletic,Run/Walk,Rivkin Summer Run,S22JY026,07/17/2022 12:00:00 AM,07/17/2022 12:00:00 AM,Seward Park,Seward Park,2,South,Rivkin Center,1350
01/10/2022 12:00:00 AM,In Process,Special Event,Athletic,Water,Fat Salmon Open Water Swim,S22JY028,07/16/2022 12:00:00 AM,07/16/2022 12:00:00 AM,Madison Park,Madison Park,3,"East, Harbor",Orca Swim Team,450
11/04/2021 12:00:00 AM,In Process,Special Event,Athletic,Cycling,Seattle to Portland Bicycle Classic,S22JY006,07/16/2022 12:00:00 AM,07/16/2022 12:00:00 AM,,"Columbia City, Madison Park, Madrona / Leschi, Montlake / Portage Bay, Mt. Baker / North Rainier, Rainier Beach, Seward Park, University District","2, 3, 4","East, North, South, Traffic",Cascade Bicycle Club,6100
01/06/2022 12:00:00 AM,In Process,Special Event,Commercial,,May Night Market,S22MY025,05/27/2022 12:00:00 AM,05/28/2022 12:00:00 AM,Magnuson Park,Laurelhurst / Sand Point,4,North,NW Marketplaces,7205
12/02/2021 12:00:00 AM,On Hold,Special Event,Community,,Seattle Norwegian 17th of May Parade,S22MY008,05/17/2022 12:00:00 AM,05/17/2022 12:00:00 AM,,Ballard,6,North,Seattle Norwegian 17th of May Committee,5050
12/16/2021 12:00:00 AM,In Process,Special Event,Commercial,,Seattle Opera's Big Opera Party,S22MY016,05/13/2022 12:00:00 AM,05/13/2022 12:00:00 AM,,Queen Anne,7,West,Seattle Opera,450
12/09/2021 12:00:00 AM,In Process,Special Event,Community,,Madrona Mayfair,S22MY009,05/07/2022 12:00:00 AM,05/07/2022 12:00:00 AM,OTHER,Madrona / Leschi,3,East,Madrona Neighborhood Association,375
12/13/2021 12:00:00 AM,In Process,Special Event,Athletic,Run/Walk,Fiesta 5K Ole,S22AP015,04/30/2022 12:00:00 AM,04/30/2022 12:00:00 AM,Volunteer Park,Capitol Hill,3,East,Fizz Events,3000
11/30/2021 12:00:00 AM,In Process,Special Event,Community,,Lunar New Year Celebration,S22FE007,04/30/2022 12:00:00 AM,04/30/2022 12:00:00 AM,Hing Hay Park,International District,7,West,CIDBIA,5150
08/03/2021 12:00:00 AM,In Process,Special Event,Athletic,Run/Walk,Walk / Run MS - Seattle,S22AP003,04/24/2022 12:00:00 AM,04/24/2022 12:00:00 AM,Gas Works Park,"Fremont, University District, Wallingford",4,North,National MS Society,4000
01/07/2022 12:00:00 AM,In Process,Special Event,Commercial,,SIFF 2022 Opening Night Gala,S22AP027,04/14/2022 12:00:00 AM,04/14/2022 12:00:00 AM,,First Hill,7,West,SIFF,2050
